#{"t_start": 1592839682.927614, "env_id": "CartPole-v1"}
r,l,t
11.0,11,1.431923
16.0,16,1.446287
15.0,15,1.457385
25.0,25,1.476441
28.0,28,1.49858
20.0,20,1.513959
19.0,19,1.743833
32.0,32,1.772806
33.0,33,1.804049
23.0,23,1.822502
51.0,51,1.922799
11.0,11,1.932002
28.0,28,1.952941
26.0,26,1.971967
11.0,11,1.980582
19.0,19,1.994938
14.0,14,2.005797
22.0,22,2.072483
19.0,19,2.088148
17.0,17,2.101244
8.0,8,2.107111
27.0,27,2.127901
30.0,30,2.150459
14.0,14,2.211399
24.0,24,2.230071
25.0,25,2.249928
25.0,25,2.268253
12.0,12,2.277585
32.0,32,2.304081
39.0,39,2.389342
17.0,17,2.404756
29.0,29,2.429114
51.0,51,2.524533
24.0,24,2.544984
14.0,14,2.555937
20.0,20,2.572707
14.0,14,2.585347
39.0,39,2.617954
24.0,24,2.68965
19.0,19,2.706264
97.0,97,2.787014
13.0,13,2.851348
38.0,38,2.884968
57.0,57,2.935177
14.0,14,2.947234
20.0,20,3.017962
23.0,23,3.037416
12.0,12,3.048005
17.0,17,3.061681
21.0,21,3.079021
48.0,48,3.168574
12.0,12,3.178437
66.0,66,3.229707
104.0,104,3.360398
56.0,56,3.401651
21.0,21,3.468121
13.0,13,3.478931
23.0,23,3.496975
21.0,21,3.51365
27.0,27,3.53498
55.0,55,3.625893
25.0,25,3.646116
46.0,46,3.680046
30.0,30,3.70302
86.0,86,3.8212
56.0,56,3.913221
19.0,19,3.927991
57.0,57,3.972215
29.0,29,3.994318
26.0,26,4.066147
28.0,28,4.087227
19.0,19,4.101508
22.0,22,4.117865
94.0,94,4.240758
52.0,52,4.279448
131.0,131,4.432726
57.0,57,4.539327
145.0,145,4.724312
84.0,84,4.864359
17.0,17,4.887316
42.0,42,4.946055
35.0,35,4.975726
117.0,117,5.16995
114.0,114,5.354057
36.0,36,5.388824
106.0,106,5.551569
39.0,39,5.582506
131.0,131,5.737072
44.0,44,5.822815
36.0,36,5.850927
102.0,102,5.986436
71.0,71,6.04146
109.0,109,6.17795
44.0,44,6.26499
88.0,88,6.334298
89.0,89,6.45494
93.0,93,6.580962
97.0,97,6.702747
87.0,87,6.770947
11.0,11,6.779655
167.0,167,7.008919
37.0,37,7.037315
67.0,67,7.088865
91.0,91,7.20955
41.0,41,7.240352
82.0,82,7.352844
124.0,124,7.500051
135.0,135,7.657833
118.0,118,7.800007
133.0,133,7.956378
157.0,157,8.127815
148.0,148,8.293982
250.0,250,8.590847
119.0,119,8.746267
109.0,109,8.881804
145.0,145,9.041867
220.0,220,9.311974
150.0,150,9.479745
126.0,126,9.626868
155.0,155,9.796758
242.0,242,10.081807
132.0,132,10.233279
209.0,209,10.495348
121.0,121,10.638267
92.0,92,10.761021
179.0,179,10.95031
100.0,100,11.081078
319.0,319,11.426321
194.0,194,11.675688
106.0,106,11.806067
428.0,428,12.288682
193.0,193,12.48807
210.0,210,12.753174
66.0,66,12.853821
322.0,322,13.200109
140.0,140,13.355968
268.0,268,13.839802
296.0,296,14.053294
289.0,289,14.256812
293.0,293,14.466858
293.0,293,14.686866
